number,name,status
663,"Standardizing Enum str(), repr(), and format() behaviors",R
664,Python 3.11 Release Schedule,
665,A file format to list Python dependencies for reproducibility of an application,R
666,Reject Foolish Indentation,R
667,Consistent views of namespaces,
668,Marking Python base environments as “externally managed”,A
669,Low Impact Monitoring for CPython,
670,Convert macros to functions in the Python C API,F
671,Syntax for late-bound function argument defaults,
672,Unicode-related Security Considerations for Python,
673,Self Type,A
674,Disallow using macros as l-values,
675,Arbitrary Literal String Type,A
676,PEP Infrastructure Process,
677,Callable Type Syntax,R
678,Enriching Exceptions with Notes,A
679,Allow parentheses in assert statements,
680,tomllib: Support for Parsing TOML in the Standard Library,A
681,Data Class Transforms,A
682,Format Specifier for Signed Zero,F
683,"Immortal Objects, Using a Fixed Refcount",
684,A Per-Interpreter GIL,
685,Comparison of extra names for optional distribution dependencies,A
686,Make UTF-8 mode default,A
687,Isolating modules in the standard library,A
688,Making the buffer protocol accessible in Python,
689,Unstable C API tier,
690,Lazy Imports,
691,JSON-based Simple API for Python Package Indexes,A
692,Using TypedDict for more precise **kwargs typing,
693,Python 3.12 Release Schedule,
694,Upload 2.0 API for Python Package Repositories,
695,Type Parameter Syntax,
754,IEEE 754 Floating Point Special Values,R
801,Reserved,
3000,Python 3000,F
3001,Procedure for reviewing and improving standard library modules,W
3002,Procedure for Backwards-Incompatible Changes,F
3003,Python Language Moratorium,F
3099,Things that will Not Change in Python 3000,F
3100,Miscellaneous Python 3.0 Plans,F
3101,Advanced String Formatting,F
3102,Keyword-Only Arguments,F
3103,A Switch/Case Statement,R
3104,Access to Names in Outer Scopes,F
3105,Make print a function,F
3106,"Revamping dict.keys(), .values() and .items()",F
3107,Function Annotations,F
3108,Standard Library Reorganization,F
3109,Raising Exceptions in Python 3000,F
3110,Catching Exceptions in Python 3000,F
3111,Simple input built-in in Python 3000,F
3112,Bytes literals in Python 3000,F
3113,Removal of Tuple Parameter Unpacking,F
3114,Renaming iterator.next() to iterator.__next__(),F
3115,Metaclasses in Python 3000,F
3116,New I/O,F
3117,Postfix type declarations,R
3118,Revising the buffer protocol,F
3119,Introducing Abstract Base Classes,F
3120,Using UTF-8 as the default source encoding,F
3121,Extension Module Initialization and Finalization,A
3122,Delineation of the main module,R
3123,Making PyObject_HEAD conform to standard C,F
3124,"Overloading, Generic Functions, Interfaces, and Adaptation",D
3125,Remove Backslash Continuation,R
3126,Remove Implicit String Concatenation,R
3127,Integer Literal Support and Syntax,F
3128,BList: A Faster List-like Type,R
3129,Class Decorators,F
3130,Access to Current Module/Class/Function,R
3131,Supporting Non-ASCII Identifiers,F
3132,Extended Iterable Unpacking,F
3133,Introducing Roles,R
3134,Exception Chaining and Embedded Tracebacks,F
3135,New Super,F
3136,Labeled break and continue,R
3137,Immutable Bytes and Mutable Buffer,F
3138,String representation in Python 3000,F
3139,Cleaning out sys and the “interpreter” module,R
3140,"str(container) should call str(item), not repr(item)",R
3141,A Type Hierarchy for Numbers,F
3142,Add a “while” clause to generator expressions,R
3143,Standard daemon process library,D
3144,IP Address Manipulation Library for the Python Standard Library,F
3145,Asynchronous I/O For subprocess.Popen,W
3146,Merging Unladen Swallow into CPython,W
3147,PYC Repository Directories,F
3148,futures - execute computations asynchronously,F
3149,ABI version tagged .so files,F
3150,Statement local namespaces (aka “given” clause),D
3151,Reworking the OS and IO exception hierarchy,F
3152,Cofunctions,R
3153,Asynchronous IO support,S
3154,Pickle protocol version 4,F
3155,Qualified name for classes and functions,F
3156,Asynchronous IO Support Rebooted: the “asyncio” Module,F
3333,Python Web Server Gateway Interface v1.0.1,F
8000,Python Language Governance Proposal Overview,
8001,Python Governance Voting Process,F
8002,Open Source Governance Survey,
8010,The Technical Leader Governance Model,R
8011,Python Governance Model Lead by Trio of Pythonistas,R
8012,The Community Governance Model,R
8013,The External Council Governance Model,R
8014,The Commons Governance Model,R
8015,Organization of the Python community,R
8016,The Steering Council Model,A
8100,January 2019 steering council election,
8101,2020 Term steering council election,
8102,2021 Term steering council election,
8103,2022 Term steering council election,
